‎הנה החלק השני: פריטים 201 עד 400 (ירקות, אגוזים, שומנים, ממרחים, רטבים ומוצרי חלב נוספים):
‎פריטים 201–400 (ל-100 גרם)
מס'	שם המוצר	קלוריות	חלבון (ג')	פחמימות (ג')	שומן (ג')
418	סטייק סינטה אפוי בתנור	200	25.0	0.0	10.5
419	סטייק סינטה בגריל	205	25.5	0.0	11.0
420	סטייק סינטה מבושל במרק	190	24.0	0.0	9.8
421	סטייק סינטה מוקפץ עם ירקות	195	22.0	3.5	10.5
422	סטייק סינטה מבושל ברוטב עגבניות	185	23.0	3.0	9.5
423	פילה סלמון אפוי בתנור	220	22.0	0.0	14.5
424	פילה סלמון בגריל	225	22.5	0.0	15.0
425	פילה סלמון מבושל במרק	210	21.0	0.0	13.5
426	פילה סלמון מוקפץ עם ירקות	215	20.0	3.5	14.0
427	פילה סלמון מבושל ברוטב עגבניות	205	21.0	3.0	13.0
428	פילה אמנון אפוי בתנור	128	26.0	0.0	2.5
429	פילה אמנון בגריל	132	26.5	0.0	2.8
430	פילה אמנון מבושל במרק	120	25.0	0.0	2.2
431	פילה אמנון מוקפץ עם ירקות	135	23.0	3.5	3.5
432	פילה אמנון מבושל ברוטב עגבניות	125	24.0	3.0	3.0
433	חזה הודו אפוי בתנור	145	30.0	0.0	2.5
434	חזה הודו בגריל	150	30.5	0.0	2.8
435	חזה הודו מבושל במרק	140	29.0	0.0	2.2
436	חזה הודו מוקפץ עם ירקות	135	25.0	3.5	3.0
437	חזה הודו מבושל ברוטב עגבניות	130	26.0	3.0	2.8
438	טופו קלאסי אפוי בתנור	110	13.0	2.0	6.0
439	טופו קלאסי בגריל	115	13.5	2.0	6.5
440	טופו קלאסי מבושל במרק	95	12.0	1.8	4.8
441	טופו קלאסי מוקפץ עם ירקות	105	11.0	5.0	5.5
442	טופו קלאסי מבושל ברוטב עגבניות	100	11.5	4.5	5.0
443	אורז לבן (בישול ביתי נקי)	130	2.7	28.0	0.3
444	אורז לבן (עם מעט שמן זית)	150	2.7	28.0	2.5
445	אורז לבן (עם עשבי תיבול)	135	2.8	28.5	0.8
446	אורז לבן (עם בצל מוזהב)	145	2.9	29.0	2.0
447	אורז בסמטי (בישול ביתי נקי)	125	3.0	27.0	0.3
448	אורז בסמטי (עם מעט שמן זית)	145	3.0	27.0	2.5
449	אורז בסמטי (עם עשבי תיבול)	130	3.1	27.5	0.8
450	אורז בסמטי (עם בצל מוזהב)	140	3.2	28.0	2.0
451	אורז מלא (בישול ביתי נקי)	111	2.6	23.0	0.9
452	אורז מלא (עם מעט שמן זית)	131	2.6	23.0	3.0
453	אורז מלא (עם עשבי תיבול)	116	2.7	23.5	1.2
454	אורז מלא (עם בצל מוזהב)	126	2.8	24.0	2.2
455	פסטה קמח מלא (בישול ביתי נקי)	124	5.3	26.5	0.5
456	פסטה קמח מלא (עם מעט שמן זית)	144	5.3	26.5	2.8
457	פסטה קמח מלא (עם עשבי תיבול)	129	5.4	27.0	1.0
458	פסטה קמח מלא (עם בצל מוזהב)	139	5.5	27.5	2.0
459	בורגול (בישול ביתי נקי)	83	3.1	18.5	0.2
460	בורגול (עם מעט שמן זית)	103	3.1	18.5	2.5
461	בורגול (עם עשבי תיבול)	88	3.2	19.0	0.7
462	בורגול (עם בצל מוזהב)	98	3.3	19.5	1.8
463	קינואה (בישול ביתי נקי)	120	4.4	21.3	1.9
464	קינואה (עם מעט שמן זית)	140	4.4	21.3	4.0
465	קינואה (עם עשבי תיבול)	125	4.5	21.8	2.2
466	קינואה (עם בצל מוזהב)	135	4.6	22.3	3.2
467	כוסמת (בישול ביתי נקי)	92	3.4	20.0	0.4
468	כוסמת (עם מעט שמן זית)	112	3.4	20.0	2.5
469	כוסמת (עם עשבי תיבול)	97	3.5	20.5	0.8
470	כוסמת (עם בצל מוזהב)	107	3.6	21.0	1.8
471	תפוח עץ (אורגני)	52	0.3	14.0	0.2
472	תפוח עץ (מיובש בטבעיות)	240	1.4	65.0	0.5
473	תפוח עץ (טרי קטוף)	52	0.3	14.0	0.2
474	אגס (אורגני)	57	0.4	15.2	0.1
475	אגס (מיובש בטבעיות)	245	1.8	62.0	1.0
476	אגס (טרי קטוף)	57	0.4	15.2	0.1
477	שזיף (אורגני)	46	0.7	11.4	0.3
478	שזיף (מיובש בטבעיות)	240	2.2	63.9	0.4
479	שזיף (טרי קטוף)	46	0.7	11.4	0.3
480	אפרסק (אורגני)	39	0.9	9.5	0.3
481	אפרסק (מיובש בטבעיות)	239	3.1	61.0	0.8
482	אפרסק (טרי קטוף)	39	0.9	9.5	0.3
483	תמר (אורגני)	277	1.8	75.0	0.2
484	תמר (מיובש בטבעיות)	280	2.0	75.5	0.3
485	תמר (טרי קטוף)	277	1.8	75.0	0.2
486	תאנה (אורגני)	74	0.8	19.2	0.3
487	תאנה (מיובש בטבעיות)	249	3.3	63.9	0.9
488	תאנה (טרי קטוף)	74	0.8	19.2	0.3
489	קורנפלקס	375	7.0	84.0	1.0
490	צ׳יריוס	380	8.0	75.0	4.5
491	גרנולה אגוזים	450	10.0	58.0	19.0
492	מוסלי	380	11.0	68.0	7.0
493	שיבולת שועל מיידית	370	12.0	68.0	6.0
494	ריים קריספיז	390	6.5	88.0	0.8
495	ספציאל קיי	370	15.0	73.0	1.5
496	חמולין	410	8.0	72.0	10.0
497	וויטביקס	355	11.5	69.0	2.0
498	פרי לופס	380	5.0	85.0	3.5
499	קפטן קראנץ׳	410	5.5	76.0	10.0
500	פרוסטד מיניוויטס	340	8.0	78.0	1.5
501	גרנולה שוקולד	440	9.0	62.0	17.5
502	שיבולת שועל פלדה	380	13.0	66.0	7.0
503	הני סמאקס	380	5.5	86.0	1.0
504	קוקו פאפס	390	6.0	82.0	3.0
505	הני קראנץ׳ אוט	410	8.0	72.0	10.0
506	פרוסטד פלייקס	370	4.5	89.0	0.6
507	פייבר ואן	300	13.0	80.0	4.0
508	לוקי צ׳ארמס	390	7.0	82.0	4.0
509	לחם לבן	265	8.0	50.0	3.2
510	לחם שיפון	250	8.5	48.0	1.8
511	בייגל	275	9.0	55.0	1.5
512	בייגל שלם	270	9.5	53.0	1.8
513	קרקר מלח	410	9.0	70.0	10.0
514	קרקר מלא	390	10.5	64.0	11.0
515	פיתה לבנה	265	8.0	53.0	1.2
516	לחמנייה המבורגר	280	8.5	50.0	4.5
517	קרואסון	406	8.2	45.8	21.0
518	מאפין אנגלי	240	8.0	46.0	2.0
519	פוקצ׳ה	290	7.5	44.0	9.5
520	לחם שאור	240	8.0	48.0	1.0
521	נאן	310	8.5	52.0	7.5
522	טורטייה קמח	310	8.0	52.0	7.5
523	טורטייה תירס	220	5.5	44.0	2.5
524	פרגית עוף מבושלת	185	23.0	0.0	9.5
525	כנפי עוף	230	19.0	0.0	17.0
526	חזה הודו פרוס	105	22.0	0.5	1.5
527	קבב הודו	210	18.0	3.5	14.0
528	ביף סטייק סינטה	160	22.0	0.0	8.0
529	בשר טחון 80/20	250	17.0	0.0	20.0
530	ריביי	290	21.0	0.0	22.0
531	קבב בקר	245	16.0	4.0	18.0
532	המבורגר בקר	250	15.0	5.0	18.0
533	כבש קוסקוס	295	18.0	0.0	24.0
534	כבד עוף	170	25.0	0.7	7.0
535	בייקון	541	37.0	1.4	42.0
536	נקניקיות	300	11.0	5.0	26.0
537	פפרוני	495	22.0	2.0	44.0
538	פרוסות הם	140	17.0	1.5	7.0
539	קורנד ביף	250	24.0	0.0	16.0
540	חזה עוף מעושן	120	23.0	1.0	2.5
541	בריסקט	275	24.0	0.0	19.0
542	ירך הודו	165	20.5	0.0	9.0
543	סלמון מוקפץ	230	21.0	1.5	15.0
544	טונה מקופסה שמן	190	26.0	0.0	9.0
545	שרימפס מבושל	99	24.0	0.2	0.3
546	הלבוט	91	18.5	0.0	1.3
547	קוד	85	18.0	0.0	1.0
548	טילפיה	96	20.1	0.0	1.7
549	מקרל	205	18.6	0.0	13.9
550	סרדינים בשמן	208	24.6	0.0	11.5
551	לברק ים	97	18.4	0.0	2.3
552	אמנון	96	20.1	0.0	1.7
553	קלמרי	92	15.6	3.1	1.4
554	תמנון	82	14.9	2.2	1.0
555	אנשובי	210	28.9	0.0	9.7
556	לוקוס	118	24.8	0.0	1.5
557	אמנון מוקפץ בשמן	175	22.0	1.0	9.0
558	אבטיח	30	0.6	7.6	0.2
559	מנגו	60	0.8	15.0	0.4
560	אפרסק	39	0.9	9.5	0.3
561	שזיף	46	0.7	11.4	0.3
562	אוכמניות	57	0.7	14.5	0.3
563	אוכמניות קפואות	55	0.7	14.0	0.3
564	פאפאיה	43	0.5	10.8	0.3
565	פסיפלורה	97	2.2	23.4	0.7
566	ספסבה (אגס אסייתי)	42	0.5	10.5	0.2
567	ג׳וז׳ובה	79	1.2	20.2	0.2
568	ענבים שחורים	70	0.7	18.0	0.2
569	ענבים ירוקים	69	0.7	18.1	0.2
570	מלון קנטלופ	34	0.8	8.2	0.2
571	דובדבנים	63	1.0	16.0	0.2
572	תמרים מייג׳ול	277	1.8	75.0	0.2
573	פרי יבש צימוקים	299	3.1	79.2	0.5
574	משמשים יבשים	241	3.4	62.6	0.5
575	שזיפים יבשים	240	2.2	63.9	0.4
576	פרי ד׳אנה (אנונה)	94	2.1	23.6	0.6
577	רוכבת (קרמבולות)	31	1.0	6.7	0.3
578	פטל	52	1.2	11.9	0.65
579	גויאבה	68	2.6	14.3	0.95
580	פרי הדר ג׳ייפרוט	71	1.9	15.9	0.86
581	ארטישוק	47	3.3	10.5	0.2
582	צנון	16	0.7	3.4	0.1
583	פנל (שומר)	31	1.2	7.3	0.2
584	כרוב נירה	27	2.8	6.2	0.1
585	כרישה	61	1.5	14.2	0.3
586	שורש סלרי	42	1.5	9.2	0.3
587	ביצה חצילים (מוסקה חצילים)	115	3.5	6.0	9.0
588	סלק	43	1.6	9.6	0.2
589	לפת	28	0.9	6.4	0.1
590	אספרגוס	20	2.2	3.9	0.1
591	שעועית ירוקה	31	1.8	7.0	0.1
592	ארוגולה	25	2.6	3.7	0.7
593	אנדיב	17	1.3	3.4	0.2
594	חסה קוסי (רומנה)	17	1.2	3.3	0.3
595	חסה גלגל (אייסברג)	14	0.9	3.0	0.1
596	שעועית לימה	115	7.8	20.9	0.4
597	אפונה שלמה	81	5.4	14.4	0.4
598	תפוח אדמה מתוק (בטטה)	86	1.6	20.1	0.1
599	דלורית	45	1.0	12.0	0.1
600	פטרוזיליה	36	3.0	6.3	0.8
האם להמשיך לטווח הבא (601–800)?
‎הנה החלק הרביעי: פריטים 601 עד 800 (ירקות נוספים, אצות, קטניות מבושלות, אגוזים וזרעים, ממרחים, חטיפים, ממתקים, גלידות ומשקאות):
‎פריטים 601–800 (ל-100 גרם)
מס'	שם המוצר	קלוריות	חלבון (ג')	פחמימות (ג')	שומן (ג')
601	כוסברה	23	2.1	3.7	0.5
602	פלפל ירוק	20	0.9	4.6	0.2
603	פלפל צהוב	27	1.0	6.3	0.2
604	פלפל חריף	40	1.9	8.8	0.4
605	פטריות שיטאקה	34	2.2	7.5	0.5
606	פטריות פורטבלו	22	2.1	3.9	0.3
607	אצות נורי	35	5.8	5.1	0.3
608	אדמה (פולי סויה)	121	11.9	8.9	5.2
609	שורש ג׳ינג׳ר	80	1.8	17.8	0.8
610	שעועית שחורה מבושלת	132	8.9	23.7	0.5
611	שעועית כליות (קידני) מבושלת	127	8.7	22.8	0.5
612	שעועית לבנה מבושלת	139	9.7	25.0	0.5
613	עדשים ירוקות מבושלות	116	9.0	20.1	0.4
614	אפונה מפוצלת מבושלת	118	8.3	21.1	0.4
615	פינטו מבושל	143	9.0	26.2	0.6
616	אורז חום מבושל	111	2.6	23.0	0.9
617	כוסמת מבושלת	92	3.4	20.0	0.4
618	פסטה מחיטה מלאה מבושלת	124	5.3	26.5	0.5
619	פסטה לבנה מבושלת	157	5.2	30.5	0.9
620	אטריות שעועית מבושלות	108	0.1	26.7	0.0
621	ספגטי מלא מבושל	124	5.3	26.5	0.5
622	אורז יסמין מבושל	129	2.8	28.0	0.3
623	חמאת שקדים	614	21.0	18.8	55.5
624	חמאת קשיו	587	18.2	26.7	48.5
625	שמן קוקוס	862	0.0	0.0	100.0
626	שמן אבוקדו	884	0.0	0.0	100.0
627	פיסטוקים	562	20.2	27.5	45.3
628	אגוזי לוז	628	15.0	16.7	60.8
629	אגוזי פקאן	691	9.2	13.9	72.0
630	אגוזי מקדמיה	718	7.9	13.8	75.8
631	גרעיני דלעת	559	30.2	10.7	49.0
632	זרעי פשתן	534	18.3	28.9	42.2
633	זרעי המפ	553	31.6	8.7	48.8
634	שמן חמניות	884	0.0	0.0	100.0
635	חמאת בוטנים טבעית	588	25.0	20.0	50.0
636	גרעיני חמניות	584	20.8	20.0	51.5
637	טופו קשה	144	15.7	2.9	8.7
638	טופו רך	55	6.0	1.0	3.0
639	טמפה	192	20.3	7.6	10.8
640	אדממה קפוא	140	12.0	10.0	6.0
641	יוגורט סויה	50	4.0	3.5	2.3
642	המבורגר צמחי	220	17.0	6.0	14.0
643	נקניקיית סויה	230	14.0	8.0	16.0
644	חלב סויה	54	3.3	4.0	1.8
645	גבינת טופו	225	14.0	2.5	18.0
646	פרוטאין אפונה (אבקה)	400	80.0	2.0	6.0
647	צ׳יפס תפו״א קלאסי	536	6.0	53.0	33.0
648	דוריטוס טורטייה	480	6.5	62.0	22.0
649	צ׳יפס תפו״א מלח ים	536	6.0	53.0	33.0
650	פופקורן חמאה	510	6.0	55.0	31.0
651	פופקורן אוויר	387	12.0	78.0	4.5
652	אורז מתופח	385	7.0	85.0	1.0
653	פרצלים מלוחים	380	9.5	79.0	3.0
654	גרנולה בר	420	7.0	60.0	16.0
655	בר חלבון	360	32.0	28.0	13.0
656	עוגיות שיבולת שועל	450	6.0	65.0	18.0
657	קרקרים ריץ׳	500	7.0	62.0	24.0
658	טורטייה שבבים נאצ׳וס	470	6.5	63.0	21.0
659	חטיף בר אנרגיה	400	8.0	62.0	14.0
660	שבבי תפו״א אפוי	440	6.0	70.0	14.0
661	חמוציות מיובשות	308	0.5	82.0	1.4
662	גלידת סנדוויץ׳	250	4.0	34.0	11.0
663	גלידת וניל	207	3.5	24.0	11.0
664	גלידת שוקולד	216	3.8	27.0	11.0
665	גלידת תות	195	3.2	25.0	9.0
666	פרוזן יוגורט	120	3.5	22.0	2.5
667	שרבט תות	125	0.8	31.0	0.2
668	ארטיק מיץ	90	0.0	23.0	0.0
669	גלידת פיסטוק	240	4.0	25.0	14.0
670	גלידת מנגו טבעוני	170	1.0	28.0	6.0
671	מגנום שוקולד	330	4.0	28.0	22.0
672	שוקולד מריר 70%	580	7.8	34.0	42.5
673	שוקולד חלב	535	6.5	57.0	31.0
674	ממתק מ&מ׳ס	480	4.5	70.0	20.0
675	ממתק ריסס	500	9.0	54.0	28.0
676	ממתק סניקרס	480	8.0	60.0	24.0
677	ממתק קיט קאט	518	6.8	60.3	26.7
678	מרשמלוס	318	1.8	79.0	0.2
679	בראוני שוקולד	466	5.5	56.0	25.0
680	עוגיית שוקולד צ׳יפ	490	5.5	64.0	24.0
681	עוגיית אוראו	480	5.0	70.0	20.0
682	עוגת גבינה	320	6.0	26.0	21.0
683	עוגת שוקולד	370	4.5	52.0	17.0
684	מאפין שוקולד	390	5.0	55.0	18.0
685	ג׳לי	60	1.5	14.0	0.0
686	פודינג שוקולד	110	3.0	18.0	3.0
687	קפה שחור	2	0.2	0.4	0.0
688	אמריקנו	3	0.3	0.6	0.0
689	לאטה רגיל	60	3.3	5.0	3.0
690	לאטה רזה	40	3.4	5.1	1.0
691	קפוצ׳ינו	75	3.8	6.0	3.8
692	קרם ברולה לאטה	110	2.8	15.0	4.2
693	קולה (רגילה)	42	0.0	10.6	0.0
694	קולה דיאט	0	0.0	0.0	0.0
695	ספרייט	39	0.0	9.8	0.0
696	מיץ תפוחים	46	0.1	11.3	0.1
697	מיץ תפוזים	45	0.7	10.5	0.1
698	מיץ גזר	40	0.9	9.3	0.2
699	חלב שוקולד	80	3.2	11.5	2.5
700	חלב שוקולד דל שומן	65	3.3	11.0	1.0
701	תה ירוק	1	0.0	0.2	0.0
702	תה שחור	1	0.0	0.2	0.0
703	תה קמומיל	1	0.0	0.2	0.0
704	מיץ ענבים	60	0.4	15.4	0.1
705	שייק בננה	95	2.0	20.0	1.2
706	מי ברז רגילים	0	0.0	0.0	0.0
707	קטשופ	105	1.2	25.0	0.1
708	מיונז רגיל	680	1.0	1.5	75.0
709	מיונז לייט	180	1.0	3.5	17.0
710	רוטב ברביקיו	165	0.8	40.0	0.5
711	רוטב סויה	55	6.0	8.0	0.0
712	סוג מתוק לאנה (סוואט אנד סاور)	160	0.5	39.0	0.2
713	פסטו	435	4.0	4.0	45.0
714	רוטב עגבניות	30	1.3	6.0	0.3
715	חרדל דיז׳ון	65	4.0	6.0	3.5
716	רוטב יוגורט	110	3.0	5.0	9.0
717	חמאה	717	0.8	0.6	81.0
718	חמאה מלוחה	717	0.8	0.6	81.0
719	מרגרינה	715	0.2	0.5	81.0
720	רוטב חריף	35	1.0	7.0	0.5
721	וויסטרשייר	78	0.8	18.5	0.0
722	המבורגר כפול בייקון	290	16.0	15.0	20.0
723	פיצה מרגריטה	266	11.0	33.0	10.0
724	פיצה פפרוני	295	12.5	32.0	13.0
725	ביג מק	257	12.0	20.0	15.0
726	צ׳יפס מקדונלד׳ס גדול	312	3.4	41.0	15.0
727	צ׳יפס בינוני	320	3.5	42.0	16.0
728	צ׳יקן מק׳נגטס	296	16.0	18.0	18.0
729	בוריטו תרנגול	205	10.0	24.0	8.0
730	טאקו עוף	226	12.0	18.0	12.0
731	כריך BLT	260	9.0	24.0	14.0
732	כריך קלאב	230	12.0	22.0	10.0
733	פה פיצה מלאה	270	11.5	31.0	11.0
734	נאגטס עוף קפוא	245	13.0	15.0	14.0
735	פלאפל בפיתה	250	9.0	32.0	10.0
736	שווארמה עוף בפיתה	220	15.0	20.0	9.0
737	בורגר צמחוני	175	14.0	12.0	8.0
738	פשטידת קינואה	160	6.0	15.0	8.5
739	סלט קיסר עם עוף	150	11.0	5.0	10.0
740	ספגטי בולונז	135	6.0	16.0	5.0
741	תוספת אורז	130	2.7	28.0	0.3
742	מרק עדשים	70	4.5	11.0	1.0
743	מרק עגבניות	35	1.0	6.0	1.0
744	מרק עוף עם אטריות	40	3.0	5.0	1.0
745	מרק מינסטרונה	45	2.0	8.0	1.0
746	צ׳ילי קון קרנה	120	7.0	13.0	4.0
747	שקשוקה	115	6.0	5.0	8.0
748	פדאי אורז	160	5.0	22.0	6.0
749	קדאיף גבינה	340	7.0	38.0	18.0
750	קבב כבש	270	16.0	3.0	21.0
751	מוסקה	130	5.0	7.0	9.0
752	דייסת שיבולת שועל בחלב	85	3.5	12.0	2.5
753	פרנץ׳ טוסט	225	7.0	20.0	12.0
754	פנקייק	227	6.0	28.0	10.0
755	וופל	290	6.0	38.0	13.0
756	קינמון רול	320	5.0	50.0	12.0
757	מאפין בלוברי	350	5.0	50.0	14.0
758	דונאט גלייז	420	4.5	50.0	23.0
759	טחינה גולמית	590	17.0	20.0	53.5
760	ריבה תות	278	0.4	69.0	0.1
761	נוטלה	539	6.3	57.5	30.9
762	ממרח שקדים	614	21.0	18.8	55.5
763	דבש	304	0.3	82.4	0.0
764	סירופ מייפל	260	0.1	67.0	0.1
765	ממרח גבינה שמנה	270	5.5	3.5	25.0
766	גואקמולה	160	2.0	8.5	14.5
767	ריקוטה	174	11.3	3.0	13.0
768	גבינת מסקרפונה	429	4.8	2.7	44.4
769	גבינת הבלומי (הלומי)	310	22.0	2.0	24.0
770	גבינה כחולה	353	21.4	2.3	28.7
771	יוגורט איסלנדי (סקיר)	62	11.0	4.0	0.2
772	יוגורט קוקוס	70	1.5	8.0	4.0
773	שמנת חמוצה דלת שומן	110	3.0	4.0	9.0
774	גבינת קממבר	310	20.0	0.5	24.0
775	לבן	60	3.3	4.2	3.0
776	גבינת קרוט (צ'דר)	403	24.9	1.3	33.1
777	שייק חלבון וויי	80	18.0	2.0	0.5
778	שייק חלבון קזאין	85	19.0	1.5	0.5
779	אבקת חלבון ביצה	380	80.0	3.0	1.0
780	בר חלבון 20+	360	32.0	28.0	13.0
781	שייק הצלת/החבאת ארוחה	110	10.0	15.0	1.5
782	חלב 1%	42	3.3	4.8	1.0
783	חלב 3%	60	3.3	4.7	3.0
784	קוטג' 1%	68	11.5	1.8	1.0
785	קוטג' 5%	98	10.5	1.8	5.0
786	גבינה לבנה 0%	46	9.5	3.8	0.3
787	גבינה לבנה 5%	99	9.5	3.5	5.0
788	יוגורט טבעי 0%	38	4.5	4.5	0.1
789	יוגורט טבעי 3%	60	4.0	4.2	3.0
790	יוגורט יווני 5%	85	5.2	3.9	5.0
791	סקיר טבעי	62	11.0	4.0	0.2
792	ביצה S	145	12.0	0.7	10.0
793	ביצה M	143	12.5	0.7	9.5
794	ביצה L	143	12.5	0.7	9.5
795	חלבון ביצה	52	11.0	0.7	0.2
796	חזה עוף	110	23.0	0.0	1.2
797	פרגית ללא עור	155	19.5	0.0	8.0
798	חזה הודו	107	24.0	0.0	1.0
799	בשר בקר טחון 5%	135	21.0	0.0	5.5
800	טונה במים	105	24.5	0.0	0.8
האם תרצי שאמשיך לטווח האחרון (801 ועד הסוף)?
‎הנה החלק החמישי והאחרון: פריטים 801 ועד הסוף (דגים, תחליפים, פחמימות בסיסיות, ירקות, פירות, שומנים, ותוספות/מותגי חלבון וחטיפים):
‎פריטים 801 עד הסוף (ל-100 גרם)
מס'	שם המוצר	קלוריות	חלבון (ג')	פחמימות (ג')	שומן (ג')
801	סלמון	205	20.0	0.0	13.5
802	דג לבן	90	18.0	0.0	1.5
803	טופו	80	12.0	1.5	4.0
804	פסטה מבושלת	157	5.2	30.5	0.9
805	תפוח אדמה מבושל	87	2.0	20.0	0.1
806	בטטה	86	1.6	20.1	0.1
807	שיבולת שועל	389	16.9	66.3	6.9
808	לחם	265	8.0	50.0	3.2
809	לחם מלא	225	9.0	42.0	2.0
810	פיתה	265	8.0	53.0	1.2
811	פיתה מלאה	240	9.0	45.0	2.0
812	טורטייה	310	8.0	52.0	7.5
813	קמח לבן	364	10.3	76.3	1.0
814	קמח מלא	340	13.2	72.0	1.9
815	עדשים מבושלות	116	9.0	20.1	0.4
816	חומוס מבושל	164	8.9	27.4	2.6
817	שעועית מבושלת	139	9.7	25.0	0.5
818	תפוח	52	0.3	14.0	0.2
819	בננה	89	1.1	22.8	0.3
820	תפוז	47	0.9	11.8	0.1
821	ענבים	69	0.7	18.1	0.2
822	תותים	32	0.7	7.7	0.3
823	אבוקדו	160	2.0	8.5	14.5
824	תמר	277	1.8	75.0	0.2
825	עגבנייה	18	0.9	3.9	0.2
826	מלפפון	15	0.6	3.6	0.1
827	חסה	15	1.4	2.9	0.2
828	פלפל אדום	31	1.0	6.0	0.3
829	גזר	41	0.9	9.6	0.2
830	ברוקולי	35	2.4	7.2	0.4
831	כרובית	23	1.8	4.1	0.5
832	קישוא	17	1.2	3.1	0.3
833	בצל	40	1.1	9.3	0.1
834	שמן זית	884	0.0	0.0	100.0
835	שמן קנולה	884	0.0	0.0	100.0
836	חמאת בוטנים	588	25.0	20.0	50.0
837	מיונז	680	1.0	1.5	75.0
838	חרדל	65	4.0	6.0	3.5
839	סלסה	30	1.2	6.5	0.2
840	שמנת חמוצה 9%	110	3.0	4.0	9.0
841	שמנת לבישול 9%	110	3.0	4.0	9.0
842	סוכר	387	0.0	100.0	0.0
843	חטיף חלבון	360	32.0	28.0	13.0
844	משקה חלבון	55	10.0	4.0	0.2
845	אבקת חלבון	390	75.0	8.0	6.0
846	אבקות חלבון מכל הסוגים והמותגים	380	78.0	6.0	5.0
847	חטיפי חלבון מכל הסוגים והמותגים	360	30.0	28.0	13.0
848	מעדני חלבון מכל הסוגים והמותגים	75	10.0	6.0	0.5
השלמנו כעת את כל הרשימה המלאה והמפורטת של כל 848 הפריטים עם הערכים התזונתיים ל-100 גרם! אם תצטרכי חישובים נוספים או בדיקות ממוקדות, אני כאן.
